Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
14-09-1985,,,23.3,94.0,5.0,0.0,0.0,0.0,0.0,N 
15-09-1985,,,25.1,88.0,29.0,0.0,0.0,0.0,0.0,N 
16-09-1985,,,25.4,89.0,0.0,0.0,0.0,0.0,0.0,N 
17-09-1985,,,24.3,84.0,22.0,0.0,0.0,0.0,0.0,N 
18-09-1985,,,23.2,90.0,0.0,0.0,0.0,0.0,0.0,N 
19-09-1985,,,24.5,92.0,318.0,0.0,0.0,0.0,0.0,N 
20-09-1985,,,24.9,85.0,0.0,0.0,0.0,0.0,0.0,N 
21-09-1985,,,21.1,94.0,3.0,0.0,0.0,0.0,0.0,N 
22-09-1985,,,22.8,95.0,41.0,0.0,0.0,0.0,0.0,N 
23-09-1985,,,23.1,92.0,37.0,0.0,0.0,0.0,0.0,N 
24-09-1985,,,23.1,100.0,46.0,0.0,0.0,0.0,0.0,N 
25-09-1985,,,23.7,94.0,304.0,0.0,0.0,0.0,0.0,N 
26-09-1985,,,23.0,97.0,43.0,0.0,0.0,0.0,0.0,N 
27-09-1985,,,24.2,90.0,114.0,0.0,0.0,0.0,0.0,N 
28-09-1985,,,24.1,94.0,3.0,0.0,0.0,0.0,0.0,N 
29-09-1985,,,24.7,88.0,35.0,0.0,0.0,0.0,0.0,N 
30-09-1985,,,23.7,96.0,1.0,0.0,0.0,0.0,0.0,N 
01-10-1985,,,25.4,95.0,0.0,0.0,0.0,0.0,0.0,N 
02-10-1985,,,23.5,96.0,4.0,0.0,0.0,0.0,0.0,N 
03-10-1985,,,24.7,89.0,0.0,0.0,0.0,0.0,0.0,N 
04-10-1985,,,25.4,86.0,0.0,0.0,0.0,0.0,0.0,N 
05-10-1985,,,24.6,91.0,0.0,0.0,0.0,0.0,0.0,N 
06-10-1985,,,25.2,89.0,0.0,0.0,0.0,0.0,0.0,N 
07-10-1985,,,24.5,92.0,26.0,0.0,0.0,0.0,0.0,N 
08-10-1985,,,24.6,88.0,16.0,0.0,0.0,0.0,0.0,N 
09-10-1985,,,24.8,92.0,5.0,0.0,0.0,0.0,0.0,N 
10-10-1985,,,25.8,86.0,0.0,0.0,0.0,0.0,0.0,N 
11-10-1985,,,24.7,91.0,0.0,0.0,0.0,0.0,0.0,N 
12-10-1985,,,25.8,88.0,0.0,0.0,0.0,0.0,0.0,N 
13-10-1985,,,24.9,90.0,0.0,0.0,0.0,0.0,0.0,N 
14-10-1985,,,25.0,86.0,14.0,0.0,0.0,0.0,0.0,N 
15-10-1985,,,26.2,84.0,0.0,0.0,0.0,0.0,0.0,N 
16-10-1985,,,26.2,89.0,0.0,0.0,0.0,0.0,0.0,N 
17-10-1985,,,25.7,84.0,5.0,0.0,0.0,0.0,0.0,N 
18-10-1985,,,25.1,88.0,66.0,0.0,0.0,0.0,0.0,N 
19-10-1985,,,25.0,87.0,0.0,0.0,0.0,0.0,0.0,N 
20-10-1985,,,25.6,88.0,0.0,0.0,0.0,0.0,0.0,N 
21-10-1985,,,25.4,87.0,3.0,0.0,0.0,0.0,0.0,N 
22-10-1985,,,24.0,95.0,46.0,0.0,0.0,0.0,0.0,N 
23-10-1985,,,23.5,94.0,5.0,0.0,0.0,0.0,0.0,N 
24-10-1985,,,23.8,90.0,8.0,0.0,0.0,0.0,0.0,N 
25-10-1985,,,23.5,99.0,0.0,0.0,0.0,0.0,0.0,N 
26-10-1985,,,25.1,86.0,41.0,0.0,0.0,0.0,0.0,N 
27-10-1985,,,24.2,94.0,42.0,0.0,0.0,0.0,0.0,N 
28-10-1985,,,24.6,90.0,4.0,0.0,0.0,0.0,0.0,N 
29-10-1985,,,23.9,92.0,55.0,0.0,0.0,0.0,0.0,N 
30-10-1985,,,24.8,91.0,65.0,0.0,0.0,0.0,0.0,N 
31-10-1985,,,24.8,92.0,0.0,0.0,0.0,0.0,0.0,N 
01-11-1985,,,25.8,90.0,3.0,0.0,0.0,0.0,0.0,N 
02-11-1985,,,25.9,88.0,51.0,0.0,0.0,0.0,0.0,N 
03-11-1985,,,25.8,84.0,65.0,0.0,0.0,0.0,0.0,N 
04-11-1985,,,24.8,92.0,302.0,0.0,0.0,0.0,0.0,N 
05-11-1985,,,25.2,92.0,69.0,0.0,0.0,0.0,0.0,N 
06-11-1985,,,24.8,91.0,7.0,0.0,0.0,0.0,0.0,N 
07-11-1985,,,23.6,96.0,68.0,0.0,0.0,0.0,0.0,N 
08-11-1985,,,25.4,91.0,36.0,0.0,0.0,0.0,0.0,N 
09-11-1985,,,25.1,92.0,2.0,0.0,0.0,0.0,0.0,N 
10-11-1985,,,25.2,90.0,11.0,0.0,0.0,0.0,0.0,N 
11-11-1985,,,25.2,89.0,9.0,0.0,0.0,0.0,0.0,N 
12-11-1985,,,26.6,86.0,3.0,0.0,0.0,0.0,0.0,N 
13-11-1985,,,26.2,86.0,3.0,0.0,0.0,0.0,0.0,N 
14-11-1985,,,25.5,88.0,4.0,0.0,0.0,0.0,0.0,N 
15-11-1985,,,25.4,84.0,2.0,0.0,0.0,0.0,0.0,N 
16-11-1985,,,26.2,82.0,0.0,0.0,0.0,0.0,0.0,N 
17-11-1985,,,23.4,91.0,0.0,0.0,0.0,0.0,0.0,N 
18-11-1985,,,24.8,89.0,4.0,0.0,0.0,0.0,0.0,N 
19-11-1985,,,24.6,90.0,27.0,0.0,0.0,0.0,0.0,N 
20-11-1985,,,24.9,86.0,4.0,0.0,0.0,0.0,0.0,N 
21-11-1985,,,23.2,95.0,2.0,0.0,0.0,0.0,0.0,N 
22-11-1985,,,24.0,97.0,50.0,0.0,0.0,0.0,0.0,N 
23-11-1985,,,23.3,98.0,41.0,0.0,0.0,0.0,0.0,N 
24-11-1985,,,23.0,94.0,158.0,0.0,0.0,0.0,0.0,N 
25-11-1985,,,24.2,92.0,72.0,0.0,0.0,0.0,0.0,N 
26-11-1985,,,24.2,92.0,13.0,0.0,0.0,0.0,0.0,N 
27-11-1985,,,25.2,88.0,5.0,0.0,0.0,0.0,0.0,N 
28-11-1985,,,23.5,97.0,11.0,0.0,0.0,0.0,0.0,N 
29-11-1985,,,24.6,90.0,53.0,0.0,0.0,0.0,0.0,N 
30-11-1985,,,24.6,94.0,11.0,0.0,0.0,0.0,0.0,N 
01-12-1985,,,24.3,94.0,7.0,0.0,0.0,0.0,0.0,N 
02-12-1985,,,24.2,92.0,3.0,0.0,0.0,0.0,0.0,N 
03-12-1985,,,23.7,96.0,20.0,0.0,0.0,0.0,0.0,N 
04-12-1985,,,24.7,92.0,50.0,0.0,0.0,0.0,0.0,N 
05-12-1985,,,25.3,87.0,0.0,0.0,0.0,0.0,0.0,N 
06-12-1985,,,25.1,92.0,0.0,0.0,0.0,0.0,0.0,N 
07-12-1985,,,24.8,90.0,3.0,0.0,0.0,0.0,0.0,N 
08-12-1985,,,25.0,90.0,0.0,0.0,0.0,0.0,0.0,N 
09-12-1985,,,23.3,97.0,12.0,0.0,0.0,0.0,0.0,N 
